,listing_id,negative_sentiment,neutral_sentiment,positive_sentiment,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
3405,9607385,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""Lock on Bedroom Door""}",$50.00,0,0,0,67,0,,,,,,,
3406,13697676,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers}",$35.00,1,1,1,69,0,,,,,,,
3407,14272646,,,,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,"{""Wireless Internet"",Kitchen,Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$40.00,21,51,81,356,0,,,,,,,
3408,4483906,,,,House,Private room,5,1.0,1.0,1.0,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher""}",$105.00,30,60,90,365,0,,,,,,,
3409,8761060,,,,Apartment,Private room,3,1.0,1.0,3.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials}",$100.00,30,60,90,365,0,,,,,,,
3410,8904546,,,,House,Private room,2,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Indoor Fireplace"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,Shampoo,""Lock on Bedroom Door""}",$95.00,18,48,78,353,0,,,,,,,
3411,14686119,,,,House,Private room,1,2.5,1.0,1.0,Real Bed,"{""Wireless Internet"",""Air Conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$48.00,5,35,65,340,0,,,,,,,
3412,14664852,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$45.00,0,4,34,309,0,,,,,,,
3413,5729203,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00,30,60,90,365,0,,,,,,,
3414,13565183,,,,Apartment,Private room,1,1.0,1.0,1.0,Airbed,"{""Wireless Internet"",Kitchen,Heating,Essentials,Hangers,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$31.00,1,1,1,257,0,,,,,,,
3415,7389719,,,,House,Private room,5,2.0,1.0,1.0,Real Bed,"{Internet,""Wireless Internet"",Kitchen,Heating,Washer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials}",$40.00,3,24,54,54,0,,,,,,,
3416,13928082,,,,Apartment,Entire home/apt,2,1.0,2.0,2.0,Real Bed,"{""Wireless Internet"",Kitchen,Heating,Washer,Dryer,Essentials,Hangers,""Laptop Friendly Workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$120.00,20,50,80,80,0,,,,,,,
3417,14928000,,,,House,Private room,1,1.0,1.0,1.0,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Shampoo}",$55.00,30,60,90,365,0,,,,,,,
3418,14682145,,,,Apartment,Shared room,1,1.0,1.0,1.0,Real Bed,{},$25.00,26,56,86,361,0,,,,,,,
3419,14747561,,,,Apartment,Private room,1,1.0,1.0,1.0,Airbed,"{""Wireless Internet"",Kitchen,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",Essentials,""Lock on Bedroom Door"",Hangers,Iron,""Laptop Friendly Workspace""}",$40.00,4,29,59,334,0,,,,,,,
3420,14826101,,,,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,"{Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Hangers,Iron}",$100.00,6,36,66,341,0,,,,,,,
